country_code,yield_forecast
AL,818.226646777126
AT,28949.39566597104
BE,28151.95016250999
BG,14968.723392514783
CH,3022.9051236226137
CY,481.0718336588493
CZ,22863.44913589522
DE,25064.06983764005
DK,31146.274961312403
EE,4544.675511833462
EL,30722.877719000975
ES,103959.77018358
FI,30518.282783193474
FR,408675.45159854006
GB,329.38868189620905
HR,10140.214884285004
HU,42056.63883223943
IE,7731.746188326864
IS,-17.272802740582897
IT,173961.56296219578
LT,8930.389359999435
LU,3113.6398946223944
LV,8624.578902433605
ME,231.24530654724637
MK,2253.4671620860163
MT,415.9146369267872
NL,33883.09345698691
NO,938.4887482748871
PL,156454.8972495808
PT,7236.532712091151
RO,48176.38251197956
RS,12179.916626623159
SE,44715.93730286048
SI,4588.246712843853
SK,17718.50829933638
TR,161697.68414819823
