country,year,yield
albania,2000,0.0
albania,2001,0.0
albania,2002,0.0
albania,2003,0.0
albania,2004,0.0
albania,2005,0.0
albania,2006,0.0
albania,2007,0.0
albania,2008,0.0
albania,2009,0.0
albania,2010,0.0
albania,2011,0.0
albania,2012,0.0
albania,2013,0.0
albania,2014,0.0
albania,2015,0.0
albania,2016,0.0
albania,2017,0.0
albania,2018,0.0
albania,2019,0.0
albania,2020,0.0
albania,2021,6060.559998288751
albania,2022,6123.180033273995
austria,2000,18222.299875818193
austria,2001,19001.240032278
austria,2002,19081.52985738218
austria,2003,16885.50994320959
austria,2004,20643.739856943488
austria,2005,19902.34005060047
austria,2006,18292.130238115788
austria,2007,19048.050015367568
austria,2008,22273.33016501367
austria,2009,20592.909884944558
austria,2010,37948.81969670206
austria,2011,42547.83998894133
austria,2012,38040.12039741501
austria,2013,37989.55014877394
austria,2014,44390.62035212666
austria,2015,27391.969961268827
austria,2016,32018.499898251146
austria,2017,27195.19001009874
austria,2018,26167.239942926913
austria,2019,28125.970355857164
austria,2020,30174.620158271864
austria,2021,29284.940003326163
austria,2022,28282.30987204984
belgium,2000,23628.589956194162
belgium,2001,22828.040080145
belgium,2002,24611.310211606324
belgium,2003,24250.070016101003
belgium,2004,25484.270138390362
belgium,2005,24104.129837557673
belgium,2006,22408.379830405116
belgium,2007,24166.85987558216
belgium,2008,24822.949892498553
belgium,2009,25925.079901851714
belgium,2010,22411.620042584836
belgium,2011,20214.440024614334
belgium,2012,34002.90001140535
belgium,2013,37149.44983275235
belgium,2014,39563.66980192065
belgium,2015,25194.880024515092
belgium,2016,20467.85004329309
belgium,2017,26144.45976937376
belgium,2018,22020.980082809925
belgium,2019,24581.95987538807
belgium,2020,24002.740013875067
belgium,2021,22923.30018625036
belgium,2022,24436.19006684795
bulgaria,2000,0.0
bulgaria,2001,232.73999786376953
bulgaria,2002,741.7000004798174
bulgaria,2003,508.5200063958764
bulgaria,2004,0.0
bulgaria,2005,0.0
bulgaria,2006,0.0
bulgaria,2007,8611.570008926094
bulgaria,2008,4573.810029387474
bulgaria,2009,4582.279981806874
bulgaria,2010,22659.050091452897
bulgaria,2011,26092.450123157352
bulgaria,2012,22460.269715085626
bulgaria,2013,23592.510105118155
bulgaria,2014,24805.289741476998
bulgaria,2015,19925.849877456203
bulgaria,2016,25507.17991825752
bulgaria,2017,28655.039801103994
bulgaria,2018,29986.67008331418
bulgaria,2019,26843.039919875562
bulgaria,2020,21469.940158789977
bulgaria,2021,28335.769613608718
bulgaria,2022,24594.93992754817
croatia,2000,0.0
croatia,2001,0.0
croatia,2002,0.0
croatia,2003,0.0
croatia,2004,0.0
croatia,2005,0.0
croatia,2006,0.0
croatia,2007,0.0
croatia,2008,0.0
croatia,2009,0.0
croatia,2010,18133.070244416595
croatia,2011,17470.979976309463
croatia,2012,15711.309629622847
croatia,2013,32209.27003758028
croatia,2014,30857.78009430878
croatia,2015,12442.350004566833
croatia,2016,23548.440059132874
croatia,2017,18863.51993219182
croatia,2018,20797.490019246936
croatia,2019,21565.279945012182
croatia,2020,15099.329973258078
croatia,2021,12010.190038397908
croatia,2022,10305.160027226433
cyprus,2000,386.140001475811
cyprus,2001,641.6000000834465
cyprus,2002,738.890011459589
cyprus,2003,763.8200160823762
cyprus,2004,792.1000042520463
cyprus,2005,668.709998305887
cyprus,2006,605.1700049713254
cyprus,2007,684.0199982896447
cyprus,2008,333.3499977439642
cyprus,2009,584.9100009799004
cyprus,2010,607.0200018286705
cyprus,2011,650.9699948653579
cyprus,2012,659.0300014391541
cyprus,2013,517.5999977439642
cyprus,2014,292.9600013792515
cyprus,2015,608.9899850264192
cyprus,2016,0.0
cyprus,2017,0.0
cyprus,2018,0.0
cyprus,2019,0.0
cyprus,2020,934.8000030480325
cyprus,2021,895.6400055028498
cyprus,2022,969.0400269143283
czechia,2000,28894.150015655905
czechia,2001,31969.83987613395
czechia,2002,29732.649731196463
czechia,2003,24924.060050597414
czechia,2004,35558.290278695524
czechia,2005,19278.71988303028
czechia,2006,16608.57003364712
czechia,2007,17908.48014008999
czechia,2008,33609.040056811646
czechia,2009,32430.27989165485
czechia,2010,18730.310023128986
czechia,2011,30713.439763765782
czechia,2012,19075.269968129694
czechia,2013,28962.390270916745
czechia,2014,33602.76995238662
czechia,2015,20729.670063767582
czechia,2016,22399.679865278304
czechia,2017,20221.010011553764
czechia,2018,18812.7000028044
czechia,2019,19829.91977162659
czechia,2020,20823.060034614056
czechia,2021,21327.11996715702
czechia,2022,21399.65985415317
denmark,2000,0.0
denmark,2001,0.0
denmark,2002,0.0
denmark,2003,0.0
denmark,2004,0.0
denmark,2005,0.0
denmark,2006,35047.70997199416
denmark,2007,34423.94994456321
denmark,2008,37883.940006271005
denmark,2009,40680.419894076884
denmark,2010,20440.2801117599
denmark,2011,21619.56986671686
denmark,2012,22687.43990844488
denmark,2013,21711.96032243967
denmark,2014,91829.53057438135
denmark,2015,61914.29983192682
denmark,2016,53583.04976995289
denmark,2017,55396.019994199276
denmark,2018,16190.080050170422
denmark,2019,58088.749755203724
denmark,2020,21551.340176820755
denmark,2021,20091.140253305435
denmark,2022,21684.820133805275
estonia,2000,7593.800058797002
estonia,2001,5916.199976354837
estonia,2002,7917.899910740554
estonia,2003,8305.299988918006
estonia,2004,5924.030007198453
estonia,2005,6464.039920166135
estonia,2006,4854.640030242503
estonia,2007,6886.759932093322
estonia,2008,6790.910001091659
estonia,2009,5966.470007710159
estonia,2010,7505.869887553155
estonia,2011,7380.01006732136
estonia,2012,8302.699941828847
estonia,2013,3892.349988371134
estonia,2014,4875.159944295883
estonia,2015,4382.74000082165
estonia,2016,0.0
estonia,2017,0.0
estonia,2018,0.0
estonia,2019,0.0
estonia,2020,0.0
estonia,2021,4326.069994658232
estonia,2022,5230.89002007246
finland,2000,12653.780081905425
finland,2001,11651.219863317907
finland,2002,12229.119951166213
finland,2003,11647.450111284852
finland,2004,11563.929922699928
finland,2005,13182.5200503394
finland,2006,12103.2798230201
finland,2007,12703.680196076632
finland,2008,12749.000061251223
finland,2009,13327.279946997762
finland,2010,11477.450076550245
finland,2011,14111.510014720261
finland,2012,13294.5299545452
finland,2013,45841.189892694354
finland,2014,47857.64022638649
finland,2015,26130.459797613323
finland,2016,26678.10063844174
finland,2017,24016.490056544542
finland,2018,24165.83004733175
finland,2019,31229.669945321977
finland,2020,29536.570289358497
finland,2021,25276.670158823952
finland,2022,26109.610167130828
france,2000,280466.58962486684
france,2001,260282.35048180073
france,2002,294528.7986205816
france,2003,247426.47006867826
france,2004,295890.3799866736
france,2005,274807.23073678464
france,2006,264830.0491564572
france,2007,594669.9583273306
france,2008,624883.1610430889
france,2009,620358.3293128777
france,2010,570881.2628372293
france,2011,579339.6809640992
france,2012,618207.9382476248
france,2013,607801.4892448597
france,2014,535826.7818431426
france,2015,485000.69948032685
france,2016,415974.5318012666
france,2017,498176.2088400852
france,2018,443576.05151457526
france,2019,456201.6289763637
france,2020,374597.96829719655
france,2021,455334.9191725254
france,2022,377882.1394196581
germany,2000,40633.999925903976
germany,2001,43648.4997940585
germany,2002,38189.899813607335
germany,2003,166787.89909011126
germany,2004,40121.899961955845
germany,2005,0.0
germany,2006,0.0
germany,2007,0.0
germany,2008,0.0
germany,2009,0.0
germany,2010,0.0
germany,2011,0.0
germany,2012,0.0
germany,2013,0.0
germany,2014,0.0
germany,2015,0.0
germany,2016,0.0
germany,2017,0.0
germany,2018,0.0
germany,2019,0.0
germany,2020,0.0
germany,2021,0.0
germany,2022,0.0
greece,2000,15007.979919491336
greece,2001,14604.919906919822
greece,2002,14052.09997776337
greece,2003,13720.270103551447
greece,2004,13958.859962008893
greece,2005,14423.900027699769
greece,2006,12303.430037351325
greece,2007,29827.719887278974
greece,2008,36539.89018553123
greece,2009,37901.28997935541
greece,2010,33281.1699831225
greece,2011,34231.95004429482
greece,2012,32690.24013632536
greece,2013,35366.54994817451
greece,2014,37734.84992727637
greece,2015,15651.059825493023
greece,2016,19942.0299335327
greece,2017,19419.559969907627
greece,2018,17841.47012556158
greece,2019,16158.930123057216
greece,2020,15972.94009176828
greece,2021,16227.579920046031
greece,2022,16595.33980690129
hungary,2000,31314.370121471584
hungary,2001,45198.86025991291
hungary,2002,36166.060325585306
hungary,2003,28285.4499540478
hungary,2004,51532.73022393137
hungary,2005,48695.390770472586
hungary,2006,43213.11985998601
hungary,2007,32382.50013910979
hungary,2008,49224.09998995066
hungary,2009,39987.66987635195
hungary,2010,27942.849678760394
hungary,2011,31624.109908584505
hungary,2012,50375.14033488184
hungary,2013,65216.240034956485
hungary,2014,57270.60031390004
hungary,2015,50512.319711666554
hungary,2016,60345.17009973526
hungary,2017,49409.79016215727
hungary,2018,52562.2497492861
hungary,2019,54181.24012499675
hungary,2020,53276.1500125844
hungary,2021,48945.530216431245
hungary,2022,35636.230220919475
iceland,2000,0.0
iceland,2001,0.0
iceland,2002,0.0
iceland,2003,0.0
iceland,2004,0.0
iceland,2005,0.0
iceland,2006,0.0
iceland,2007,0.0
iceland,2008,0.0
iceland,2009,0.0
iceland,2010,0.0
iceland,2011,29.409999579191208
iceland,2012,42.19000133872032
iceland,2013,6.119999997317791
iceland,2014,0.0
iceland,2015,30.59999990463257
iceland,2016,0.0
iceland,2017,0.0
iceland,2018,0.0
iceland,2019,0.0
iceland,2020,100.53999958187342
iceland,2021,109.02999973297119
iceland,2022,105.45999997854233
ireland,2000,0.0
ireland,2001,0.0
ireland,2002,0.0
ireland,2003,0.0
ireland,2004,0.0
ireland,2005,0.0
ireland,2006,0.0
ireland,2007,0.0
ireland,2008,0.0
ireland,2009,0.0
ireland,2010,8267.139948785305
ireland,2011,9387.59995752573
ireland,2012,7942.099975705147
ireland,2013,14910.230064168572
ireland,2014,16585.0501178205
ireland,2015,14104.1499870345
ireland,2016,12645.08998323977
ireland,2017,6242.130063429475
ireland,2018,4919.139984771609
ireland,2019,6379.119946539402
ireland,2020,4880.300026385114
ireland,2021,6489.529978401959
ireland,2022,6828.22993516922
italy,2000,79761.94043760747
italy,2001,77738.63937651366
italy,2002,82801.8899415955
italy,2003,66171.29969729483
italy,2004,83262.63048361242
italy,2005,78175.34076984227
italy,2006,71410.49010070413
italy,2007,71136.10975248367
italy,2008,0.0
italy,2009,0.0
italy,2010,72204.97034228034
italy,2011,77294.3197713308
italy,2012,52896.320190997794
italy,2013,37933.11997807026
italy,2014,68926.70954131149
italy,2015,43486.26008849032
italy,2016,105570.49999387562
italy,2017,182027.31959366426
italy,2018,203461.3713065721
italy,2019,206468.51929704845
italy,2020,215352.739593748
italy,2021,204194.38102725334
italy,2022,181684.18875638768
latvia,2000,14092.659842900932
latvia,2001,10873.409980230033
latvia,2002,9546.329913459718
latvia,2003,8737.670126333833
latvia,2004,9471.65991126746
latvia,2005,10727.309885323048
latvia,2006,10379.190009690821
latvia,2007,16561.09010475129
latvia,2008,10968.10012949258
latvia,2009,9485.430019579828
latvia,2010,6581.7399986460805
latvia,2011,6054.330013394356
latvia,2012,9479.600063584745
latvia,2013,9365.669884890318
latvia,2014,9029.869822531939
latvia,2015,9345.390085071325
latvia,2016,0.0
latvia,2017,0.0
latvia,2018,0.0
latvia,2019,0.0
latvia,2020,0.0
latvia,2021,9985.100025184453
latvia,2022,10589.499786764383
lithuania,2000,0.0
lithuania,2001,0.0
lithuania,2002,0.0
lithuania,2003,0.0
lithuania,2004,0.0
lithuania,2005,0.0
lithuania,2006,0.0
lithuania,2007,0.0
lithuania,2008,0.0
lithuania,2009,0.0
lithuania,2010,0.0
lithuania,2011,0.0
lithuania,2012,0.0
lithuania,2013,9777.72969442606
lithuania,2014,11092.950036264956
lithuania,2015,12591.380254030228
lithuania,2016,11012.379922866821
lithuania,2017,11137.839904336259
lithuania,2018,8028.8899315446615
lithuania,2019,11542.61972296238
lithuania,2020,13296.000099714845
lithuania,2021,11167.600085258484
lithuania,2022,11702.560004346073
luxembourg,2000,4035.3400050401688
luxembourg,2001,3788.440018236637
luxembourg,2002,2198.7499545812607
luxembourg,2003,2102.730009496212
luxembourg,2004,2572.8299788832664
luxembourg,2005,2279.3999984562397
luxembourg,2006,2148.4000168144703
luxembourg,2007,2261.310015052557
luxembourg,2008,2355.079963952303
luxembourg,2009,2440.3999926149845
luxembourg,2010,2316.5400082785636
luxembourg,2011,2155.420032562688
luxembourg,2012,2711.1100242827088
luxembourg,2013,2588.300002677366
luxembourg,2014,2767.4899867251515
luxembourg,2015,2092.769985297695
luxembourg,2016,2261.559954682365
luxembourg,2017,2514.0200002584606
luxembourg,2018,2305.4499500934035
luxembourg,2019,2210.450013855472
luxembourg,2020,2323.2900091037154
luxembourg,2021,2889.1299252789468
luxembourg,2022,2245.4000376742333
matla,2000,91.80000305175781
matla,2001,78.99999809265137
matla,2002,91.70000076293945
matla,2003,91.79999923706055
matla,2004,78.70000076293945
matla,2005,79.5
matla,2006,66.5
matla,2007,61.39999961853027
matla,2008,69.39999961853027
matla,2009,89.30000305175781
matla,2010,62.150001525878906
matla,2011,79.29000091552734
matla,2012,64.6399974822998
matla,2013,50.05000019073486
matla,2014,47.179999351501465
matla,2015,45.95000076293945
matla,2016,0.0
matla,2017,0.0
matla,2018,0.0
matla,2019,0.0
matla,2020,0.0
matla,2021,40.14999866485596
matla,2022,38.07999897003174
montenegro,2000,0.0
montenegro,2001,0.0
montenegro,2002,0.0
montenegro,2003,0.0
montenegro,2004,0.0
montenegro,2005,0.0
montenegro,2006,0.0
montenegro,2007,23.930000562220812
montenegro,2008,32.710000947117805
montenegro,2009,35.760001480579376
montenegro,2010,33.419999212026596
montenegro,2011,44.60999920964241
montenegro,2012,33.71999949216843
montenegro,2013,57.36000057682395
montenegro,2014,65.26999934017658
montenegro,2015,64.53000006079674
montenegro,2016,0.0
montenegro,2017,0.0
montenegro,2018,0.0
montenegro,2019,0.0
montenegro,2020,0.0
montenegro,2021,53.05999892950058
montenegro,2022,48.09999907016754
netherlands,2000,18033.749940782785
netherlands,2001,16007.390145093203
netherlands,2002,16567.189819455147
netherlands,2003,25756.419906318188
netherlands,2004,28662.099936008453
netherlands,2005,28320.92991167307
netherlands,2006,16422.879931628704
netherlands,2007,23162.14014854282
netherlands,2008,24993.710310414433
netherlands,2009,29798.980161346495
netherlands,2010,40760.880148634315
netherlands,2011,42508.540108799934
netherlands,2012,41998.020014584064
netherlands,2013,41105.79986691475
netherlands,2014,44930.63998579979
netherlands,2015,24027.18990773894
netherlands,2016,24232.50998855196
netherlands,2017,34145.99990101904
netherlands,2018,24214.980001309887
netherlands,2019,25913.59004118666
netherlands,2020,26191.570053284988
netherlands,2021,25169.840026015416
netherlands,2022,26850.019840560853
north macedonia,2000,1529.3399913311005
north macedonia,2001,1309.7999954745173
north macedonia,2002,1511.450015425682
north macedonia,2003,1365.0599813461304
north macedonia,2004,1682.0299696028233
north macedonia,2005,2028.210018247366
north macedonia,2006,1897.829966135323
north macedonia,2007,1912.8100183308125
north macedonia,2008,2244.269958421588
north macedonia,2009,2260.150006711483
north macedonia,2010,2132.1400329470634
north macedonia,2011,2139.1199706196785
north macedonia,2012,1822.1800034046173
north macedonia,2013,2147.0399815887213
north macedonia,2014,2464.3199433386326
north macedonia,2015,1810.730006236583
north macedonia,2016,0.0
north macedonia,2017,0.0
north macedonia,2018,0.0
north macedonia,2019,0.0
north macedonia,2020,0.0
north macedonia,2021,2340.610023021698
north macedonia,2022,2568.310035288334
norway,2000,0.0
norway,2001,0.0
norway,2002,0.0
norway,2003,0.0
norway,2004,0.0
norway,2005,0.0
norway,2006,0.0
norway,2007,0.0
norway,2008,0.0
norway,2009,0.0
norway,2010,0.0
norway,2011,0.0
norway,2012,0.0
norway,2013,0.0
norway,2014,2457.309999756515
norway,2015,2694.860018402338
norway,2016,4213.670015849173
norway,2017,2591.7700065523386
norway,2018,2116.3400106485933
norway,2019,2570.930021835491
norway,2020,2283.5999649763107
norway,2021,0.0
norway,2022,0.0
poland,2000,131562.99938207865
poland,2001,137647.06018119305
poland,2002,134748.7004486397
poland,2003,121049.86987289786
poland,2004,146045.0090118721
poland,2005,132609.81025077403
poland,2006,113209.57955665141
