model_name,mae_train,r2_train,mae_test,r2_test
Linear Regression - Only Numerical Features,3593.468414658072,0.0581620984050385,4496.156732849321,0.02920011279709389
Linear Regression - All dummies - Only Numerical Features,1518.983445214315,0.807217803439954,1861.6106071509178,0.7177078062738167
Random Forest - All dummies - no optimization,387.8238066645721,0.9813115411340315,1436.5269103753408,0.8124807434458714
Random Forest - Selected first 60 variables from importance - no optimization,741.9127602901348,0.9549975151144289,2065.5038068233007,0.7618593856320793
Random Forest - Selected first 60 variables from importance - Optimized,1953.865350321608,0.8107305843923702,2503.5438674514467,0.6436477191632053
LightGBM - no Optimized,491.7672127433982,0.9803276186878196,1130.6032665327516,0.8478880608609661
LightGBM - Optimized,573.338409246465,0.9748725613906818,1253.6802190187109,0.7925986069934078
LightGBM - Transformed Target - Optimized,616.993372790941,0.9308166090723191,1617.5753490539767,0.581242343326806
LightGBM - PyCaret - Not Optimized,727.3466946412213,0.940521646349052,1638.5462574668902,0.7361768482267694
Random Forest - PyCaret - Not Optimized,570.774907237821,0.9503196989961332,1410.3167151137684,0.7627378940726359
Extra Trees - PyCaret - Not Optimized,299.4384262078914,0.9622577993834471,1297.2590948772731,0.8079572686756189
LightGBM - PyCaret - Optimized,474.0905305653787,0.9581427126207891,1573.6458597572212,0.7556436385245245
Random Forest - PyCaret - Optimized,608.6455876845577,0.9449411228359685,1415.2262670117634,0.7583134768076822
Extra Trees - PyCaret - Optimized,299.4384262078914,0.9622577993834471,1297.2590948772731,0.8079572686756189
